iter	RMSE
0	41.45405786
1	40.1136334
2	38.80265884
3	37.56178678
4	36.58127176
5	35.64549468
6	34.76736736
7	33.96670987
8	33.23605411
9	32.60877339
10	32.02880786
11	31.49553315
12	31.05531138
13	30.70369834
14	30.33501024
15	30.06447698
16	29.77481244
17	29.52562219
18	29.30722811
19	29.09619761
20	28.94826684
21	28.7765869
22	28.65417265
23	28.50795702
24	28.3704172
25	28.2509102
26	28.12345042
27	28.02496757
28	27.90574485
29	27.76377227
30	27.66114855
31	27.55176189
32	27.46027533
33	27.33618805
34	27.25505953
35	27.17750978
36	27.05393902
37	26.96151793
38	26.85857578
39	26.79527779
40	26.68229952
41	26.58972565
42	26.51144664
43	26.48063502
44	26.37754009
45	26.34122308
46	26.21933866
47	26.15538141
48	26.09005156
49	25.97852038
50	25.92556871
51	25.87638975
52	25.82424122
53	25.77371108
54	25.72245964
55	25.63357397
56	25.58775282
57	25.50990845
58	25.42004324
59	25.35375965
60	25.30014295
61	25.23283024
62	25.18798616
63	25.13564904
64	25.07394401
65	25.03221555
66	24.97249835
67	24.93549684
68	24.89043058
69	24.85820053
70	24.76883331
71	24.67593184
72	24.64033237
73	24.5566018
74	24.5330417
75	24.46892761
76	24.42542351
77	24.39296124
78	24.33783956
79	24.31751009
80	24.24682256
81	24.21289427
82	24.18130923
83	24.13251841
84	24.06460416
85	24.01311812
86	23.96923695
87	23.94819622
88	23.91140833
89	23.80831893
90	23.76120537
91	23.68020143
92	23.64453552
93	23.62972994
94	23.57002499
95	23.55237141
96	23.49722567
97	23.40795411
98	23.36336957
99	23.31976296
100	23.28086686
101	23.24884176
102	23.21434835
103	23.18454687
104	23.10117956
105	23.05079342
106	22.99918285
107	22.9708056
108	22.93239332
109	22.86090336
110	22.84564258
111	22.79053237
112	22.73152797
113	22.67776605
114	22.64085573
115	22.56881565
116	22.51098943
117	22.49236893
118	22.4291934
119	22.40086869
120	22.38632517
121	22.33760123
122	22.29014309
123	22.26075494
124	22.21782246
125	22.17110886
126	22.12749019
127	22.06961052
128	22.0140801
129	22.00115577
130	21.9888309
131	21.95589173
132	21.94539971
133	21.90231816
134	21.8589693
135	21.82352292
136	21.7753686
137	21.73413424
138	21.6678474
139	21.63750206
140	21.58261424
141	21.54660868
142	21.53178962
143	21.49046974
144	21.45950516
145	21.40641922
146	21.35802517
147	21.31779549
148	21.27545724
149	21.2557586
150	21.20661881
151	21.16151725
152	21.10325207
153	21.06190639
154	21.02524487
155	21.0010833
156	20.97267728
157	20.91253021
158	20.88002475
159	20.86937279
160	20.83426926
161	20.81057908
162	20.78539716
163	20.7526157
164	20.71756657
165	20.6872398
166	20.66129687
167	20.65662438
168	20.64268573
169	20.62426345
170	20.59637581
171	20.57506381
172	20.54283952
173	20.50615689
174	20.47519938
175	20.43999548
176	20.41014565
177	20.39781539
178	20.35317212
179	20.3305397
180	20.29250853
181	20.27509642
182	20.2596944
183	20.20944594
184	20.16030723
185	20.12964231
186	20.1006658
187	20.04312332
188	19.99765562
189	19.96858569
190	19.94099008
191	19.92200259
192	19.8902583
193	19.86230846
194	19.84185257
195	19.81283526
196	19.78390075
197	19.74766443
198	19.71504988
199	19.68931641
200	19.68582275
201	19.65062112
202	19.61626744
203	19.59195281
204	19.58420858
205	19.54564415
206	19.52168123
207	19.50062223
208	19.47092912
209	19.44402923
210	19.42673625
211	19.39693896
212	19.36604236
213	19.35744001
214	19.31305503
215	19.30135188
216	19.27884466
217	19.25237271
218	19.23511427
219	19.20878944
220	19.17973762
221	19.11358079
222	19.0788056
223	19.05397992
224	19.03094968
225	19.0022202
226	18.9807645
227	18.95614175
228	18.93698931
229	18.92654914
230	18.91003991
231	18.88071854
232	18.86550098
233	18.84882356
234	18.82747529
235	18.81240238
236	18.79809153
237	18.76661235
238	18.74090494
239	18.69560298
240	18.65960111
241	18.64147174
242	18.61247571
243	18.58631626
244	18.57965602
245	18.54183947
246	18.5275069
